BSAL  SEX            AGE  EDUC EXPER
5040  MALE           329  15   14.00
6300  MALE           357  15   72.00
6000  MALE           315  15   35.50
6000  MALE           354  12   24.00
6000  MALE           351  12   56.00
6840  MALE           374  15   41.50
8100  MALE           369  16   54.50
6000  MALE           363  12   32.00
6000  MALE           555  12  252.00
6900  MALE           416  15  132.00
6900  MALE           481  12  175.00
5400  MALE           331  15   17.50
6000  MALE           355  15   64.00
6000  MALE           348  15   25.00
5100  FEMALE         640  15  165.00
4800  FEMALE         774  12  381.00
5280  FEMALE         557   8  190.00
5280  FEMALE         745   8   90.00
4800  FEMALE         505  12   63.00
4800  FEMALE         482  12    6.00
5400  FEMALE         329  15   24.00
5520  FEMALE         558  12   97.00
5400  FEMALE         338  12   26.00
5700  FEMALE         667  12   90.00
3900  FEMALE         327  12    0.00
4800  FEMALE         619  12  144.00
6120  FEMALE         624  12  208.50
5220  FEMALE         671   8  102.00
5100  FEMALE         554   8   96.00
4380  FEMALE         305   8    6.25
4290  FEMALE         280  12    5.00
5400  FEMALE         534  15  122.00
4380  FEMALE         305  12    0.00
5400  FEMALE         603   8  173.00
5400  FEMALE         302  12   26.00
4500  FEMALE         366   8   52.00
5400  FEMALE         628  12   82.00
5520  FEMALE         694  12  196.00
5640  FEMALE         368  12   55.00
4800  FEMALE         590  12  228.00
5400  FEMALE         771   8  228.00
4500  FEMALE         298  12    8.00
5400  FEMALE         325  12   38.00
5400  FEMALE         589  15   49.00
6300  FEMALE         394  12   86.50
5160  FEMALE         320  12   18.00
5100  FEMALE         571  15  115.00
4800  FEMALE         602   8   70.00
5400  FEMALE         568  12  244.00
4020  FEMALE         528  10   44.00
4980  FEMALE         718   8  318.00
5280  FEMALE         653  12  107.00
5700  FEMALE         714  15  241.00
4800  FEMALE         647  12  163.00
4800  FEMALE         338  12   11.00
5700  FEMALE         362  15   51.00
4380  FEMALE         303  12    4.50
4380  FEMALE         310  12    0.00
5400  MALE           359  12   38.00
5400  MALE           474  12  113.00
5100  MALE           535  12  180.00
6600  MALE           369  15   84.00
5100  MALE           637  12  315.00
6600  MALE           536  15  215.50
5700  MALE           392  15   36.00
6000  MALE           364  12   49.00
6000  MALE           521  15  108.00
6000  MALE           686  12  272.00
6000  MALE           364  15   56.00
4620  MALE           293  12   11.50
5220  MALE           344  12   29.00
6600  MALE           340  15   64.00
5400  MALE           305  12    7.00
6000  MALE           659   8  320.00
5400  MALE           690  15  359.00
6000  MALE           402  16   45.50
5700  FEMALE         410  15   61.00
5400  FEMALE         584  15   51.00
4440  FEMALE         341  15   75.00
6300  FEMALE         662  15  231.00
6000  FEMALE         488  12  121.00
5100  FEMALE         406  12   59.00
4800  FEMALE         349  12   11.00
5100  FEMALE         508  16  123.00
5700  FEMALE         542  12  116.50
5400  FEMALE         604  12  169.00
5100  FEMALE         458  12   36.00
4800  FEMALE         571  16  214.00
6000  FEMALE         486  15   78.50
4380  FEMALE         313   8    7.50
5580  FEMALE         600  12  132.50
4620  FEMALE         385  12   52.00
5220  FEMALE         468  12  127.00
